algo,src,dst,haul_category,direct_distance_km,runs,mean_time_ms,median_time_ms,min_time_ms,stdev_time_ms,cost_km,hops,expanded_nodes,relaxations,heap_pushes,status
DIJKSTRA,FLL,DFW,medium,1798.9239552855797,200,0.061156144999756634,0.05530050000857045,0.05425500000910688,0.012175383960075723,2019.5252054,3,12,161,26,OK
ASTAR,FLL,DFW,medium,1798.9239552855797,200,0.0713997350035811,0.07499450001091645,0.04859099999521277,0.014415500935046113,2019.5252054,3,4,37,18,OK
DIJKSTRA,DTW,DEN,medium,1802.2967600715726,200,0.07640784999949801,0.06498350001038489,0.05829100001619736,0.02033750432517063,1802.29925,1,13,189,23,OK
ASTAR,DTW,DEN,medium,1802.2967600715726,200,0.047487420001743885,0.044160000015835976,0.04329800003688433,0.008124538234953292,1802.29925,1,2,17,18,OK
DIJKSTRA,DTW,FLL,medium,1818.2973566187509,200,0.0743041050014881,0.06240500002263616,0.06126199997424919,0.017339092789726996,1818.299868,1,14,207,23,OK
ASTAR,DTW,FLL,medium,1818.2973566187509,200,0.25267709500070623,0.0451555000040571,0.04379000000653832,2.83803805653038,1818.299868,1,2,17,18,OK
DIJKSTRA,FLL,ORD,medium,1905.3933635953615,200,0.06920447000055674,0.06473399997730667,0.051650999978392065,0.01831217592986671,1905.395995,1,11,145,26,OK
ASTAR,FLL,ORD,medium,1905.3933635953615,200,0.035895205002702824,0.03359199999408702,0.03296500000260494,0.005721900772723288,1905.395995,1,2,10,11,OK
DIJKSTRA,ATL,DEN,medium,1926.6178280266222,200,0.0681364899980963,0.061372999994091515,0.05996100003358151,0.010659774081152628,1926.620489,1,15,211,20,OK
ASTAR,ATL,DEN,medium,1926.6178280266222,200,0.053107574999273766,0.04770950002352947,0.04663099997515019,0.010169366100581619,1926.620489,1,2,19,20,OK
DIJKSTRA,LAS,IAH,medium,1962.789206460367,200,0.043102729997599454,0.0410089999718366,0.04038599996647463,0.005214156014759445,1962.791918,1,7,82,27,OK
ASTAR,LAS,IAH,medium,1962.789206460367,200,0.039869435003367926,0.03701800000044386,0.03619699998580472,0.006225843062714425,1962.791918,1,2,12,13,OK
DIJKSTRA,FLL,BOS,medium,1994.3029127297125,200,0.16610454500039395,0.05875800002286269,0.057188000027963426,1.4282969128075482,2050.7722719,2,13,178,26,OK
ASTAR,FLL,BOS,medium,1994.3029127297125,200,0.06123270000045977,0.05543850002709405,0.05433600000515071,0.01086045193939306,2050.7722719,2,4,36,23,OK
DIJKSTRA,ORD,SLC,long,2006.1548227624428,200,0.06866108499991697,0.06424799997262198,0.06343400002606359,0.009527886800283979,2006.157594,1,16,229,22,OK
ASTAR,ORD,SLC,long,2006.1548227624428,200,0.04620319000252948,0.0432540000190329,0.04223200005526451,0.00634694359302973,2006.157594,1,2,16,17,OK
DIJKSTRA,MSP,PHX,long,2051.707832102017,200,0.06966044500074986,0.05894200000966521,0.05815499997652296,0.018907012819802227,2051.710666,1,14,206,20,OK
ASTAR,MSP,PHX,long,2051.707832102017,200,0.0412075149966995,0.04034700000943303,0.03925500004697824,0.00418973559284081,2051.710666,1,2,14,15,OK
DIJKSTRA,DFW,PHL,long,2092.876657283358,200,0.06343552000060981,0.06037250000190397,0.05964899997934481,0.007786441584822087,2092.879548,1,15,198,24,OK
